domain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
authorization,appeal_decision,service_type_id,service_type_id,Service Type Id (Foreign Key),BIGINT,,authorization.service_type.service_type_id,,,transactional_data,Foreign key linking to authorization.service_type. Business justification: Appeal decisions are specific to service types for proper appeal routing and decision criteria.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,appeal_deadline_date,appeal_deadline_date,Appeal Deadline Date,DATE,,,,,transactional_data,Last date by which the appeal must be resolved per contract or regulation.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_escalation_flag,appeal_escalation_flag,Appeal Escalation Flag,BOOLEAN,,,,,transactional_data,True if the appeal was escalated beyond the initial reviewer.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_escalation_level,appeal_escalation_level,Appeal Escalation Level,INT,,,,,transactional_data,"Numeric level indicating depth of escalation (e.g., 1 = first level, 2 = senior reviewer).",UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_outcome,appeal_outcome,Appeal Outcome,STRING,,,,reversal|modification|reaffirmation|partial_approval,transactional_data,Result of the appeal after review.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_resolution_date,appeal_resolution_date,Appeal Resolution Date,DATE,,,,,transactional_data,Date the appeal decision was rendered.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_review_cycle,appeal_review_cycle,Appeal Review Cycle Count,INT,,,,,transactional_data,Number of review cycles the appeal has undergone.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_source,appeal_source,Appeal Source,STRING,,,,member|provider|internal_review,transactional_data,Origin of the appeal request.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_submission_date,appeal_submission_date,Appeal Submission Date,DATE,,,,,transactional_data,Date the appeal was submitted to the system.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_submission_method,appeal_submission_method,Appeal Submission Method,STRING,,,,online|phone|fax|mail,transactional_data,Channel used to submit the appeal.,UnitedHealth Internal Data Standard
authorization,appeal_decision,audit_trail_flag,audit_trail_flag,Audit Trail Flag,BOOLEAN,,,,,transactional_data,True if an audit trail entry exists for this decision.,UnitedHealth Internal Data Standard
authorization,appeal_decision,benefit_category,benefit_category,Benefit Category,STRING,,,,hospital|outpatient|pharmacy|dental|vision|behavioral_health,transactional_data,Category of benefit affected by the appeal.,UnitedHealth Internal Data Standard
authorization,appeal_decision,clinical_guideline_result,clinical_guideline_result,Clinical Guideline Result,STRING,,,,meets|does_not_meet|insufficient,transactional_data,Outcome of the clinical guideline evaluation.,InterQual/MCG Clinical Guidelines
authorization,appeal_decision,compliance_flag,compliance_flag,Compliance Flag,BOOLEAN,,,,,transactional_data,Indicates whether the decision complies with applicable regulations.,UnitedHealth Internal Data Standard
authorization,appeal_decision,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp when the appeal decision record was created.,UnitedHealth Internal Data Standard
authorization,appeal_decision,decision_amount,decision_amount,Decision Monetary Amount,"DECIMAL(12,2)",,,"confidential,pii_financial",,transactional_data,"Financial amount associated with the decision (e.g., reimbursement reversal).",UnitedHealth Internal Data Standard
authorization,appeal_decision,decision_date,decision_date,Decision Date,DATE,,,,,transactional_data,Date the final appeal decision became effective.,UnitedHealth Internal Data Standard
authorization,appeal_decision,decision_effective_date,decision_effective_date,Decision Effective Date,DATE,,,,,transactional_data,Date from which the appeal decision is applied to the member's benefits.,UnitedHealth Internal Data Standard
authorization,appeal_decision,decision_expiration_date,decision_expiration_date,Decision Expiration Date,DATE,,,,,transactional_data,"Date after which the appeal decision is no longer valid, if applicable.",UnitedHealth Internal Data Standard
authorization,appeal_decision,document_url,document_url,Appeal Decision Document URL,STRING,,,,,transactional_data,Link to the stored PDF or document containing the official decision.,UnitedHealth Internal Data Standard
authorization,appeal_decision,icd10_code,icd10_code,International Classification of Diseases 10th Revision Code (ICD‑10),STRING,,,,"^[A-Z][0-9A-Z]{2}(\.[0-9A-Z]{1,4})?$",transactional_data,Diagnosis code associated with the claim.,ICD-10 Coding Standard
authorization,appeal_decision,line_of_business,line_of_business,Line of Business (LOB),STRING,,,,commercial|medicare|medicaid|group,transactional_data,Business line to which the member belongs.,UnitedHealth Internal Data Standard
authorization,appeal_decision,member_address,member_address,Member Residential Address (ADDRESS),STRING,,,"restricted,pii_address",,transactional_data,Primary residential address of the member.,HIPAA
authorization,appeal_decision,member_dob,member_dob,Member Date of Birth (DOB),DATE,,,"restricted,pii_dob",,transactional_data,Date of birth of the member.,HIPAA
authorization,appeal_decision,member_id,member_id,Member Identifier,BIGINT,,,,,transactional_data,Unique identifier for the member who initiated the appeal.,Member Management System (QNXT)
authorization,appeal_decision,member_name,member_name,Member Full Name (NAME),STRING,,,"restricted,pii_name",,transactional_data,Legal full name of the member.,HIPAA
authorization,appeal_decision,notes,notes,Appeal Decision Notes,STRING,,,,,transactional_data,Additional internal notes related to the appeal decision.,UnitedHealth Internal Data Standard
authorization,appeal_decision,prior_authorization_id,prior_authorization_id,Prior Authorization Identifier,BIGINT,,,,,transactional_data,"Identifier of the prior authorization request linked to the appeal, if applicable.",Prior Authorization System (Pegasystems)
authorization,appeal_decision,provider_name,provider_name,Provider Name,STRING,,,,,transactional_data,Legal name of the provider organization or individual.,Provider Management System (QNXT)
authorization,appeal_decision,provider_npi,provider_npi,National Provider Identifier (NPI),STRING,,,restricted,^[0-9]{10}$,transactional_data,10‑digit NPI assigned to the provider.,National Provider Identifier Registry
authorization,appeal_decision,regulatory_reference,regulatory_reference,Regulatory Reference,STRING,,,,CMS|HIPAA|State|None,transactional_data,Regulatory framework governing the appeal decision.,CMS Regulations
authorization,appeal_decision,review_comments,review_comments,Review Comments,STRING,,,,,transactional_data,Free‑text comments entered by the reviewer during the appeal evaluation.,UnitedHealth Internal Data Standard
authorization,appeal_decision,reviewer_name,reviewer_name,Reviewer Full Name (NAME),STRING,,,"restricted,pii_name",,transactional_data,Legal name of the reviewer.,HIPAA
authorization,appeal_decision,updated_timestamp,updated_timestamp,Record Update Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp of the most recent update to the appeal decision record.,UnitedHealth Internal Data Standard
authorization,appeal_decision,utilization_management_flag,utilization_management_flag,Utilization Management Flag,BOOLEAN,,,,,transactional_data,Indicates whether the appeal was subject to utilization management review.,UnitedHealth Internal Data Standard
authorization,approval_reason,approval_reason_id,approval_reason_id,Approval Reason Identifier,BIGINT,Y,,,,reference_data,Unique identifier for the approval reason record. Primary key for the approval reason catalog.,Internal Data Management Standards
authorization,approval_reason,appeal_eligible,appeal_eligible,Appeal Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason are eligible for member or provider appeal. True if appeal rights apply.,"ERISA Appeal Rights, State Insurance Regulations, CMS Appeal Requirements"
authorization,approval_reason,applicable_lob,applicable_lob,Applicable Line of Business (LOB),STRING,,,,,reference_data,"Comma-separated list of lines of business where this approval reason applies. Examples: Commercial, Medicare Advantage (MA), Medicaid, Medicare Part D (PDP), Exchange (QHP).",Internal Product Line Standards
authorization,approval_reason,applicable_plan_types,applicable_plan_types,Applicable Plan Types,STRING,,,,,reference_data,"Comma-separated list of plan types where this approval reason is valid. Examples: HMO (Health Maintenance Organization), PPO (Preferred Provider Organization), EPO (Exclusive Provider Organization), POS (Point of Service), HDHP (High Deductible Health Plan).",Internal Product Configuration Standards
authorization,approval_reason,approval_authority_level,approval_authority_level,Approval Authority Level,STRING,,,,nurse|physician|medical_director|pharmacy|administrative|automated,reference_data,The level of authority required to approve authorization requests using this reason. Defines who can make the approval decision.,Internal UM Delegation of Authority Standards
authorization,approval_reason,audit_flag,audit_flag,Audit Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason are subject to enhanced audit or quality review. True if additional oversight is required.,"Internal Audit Standards, Compliance Monitoring Programs"
authorization,approval_reason,authorization_duration_days,authorization_duration_days,Authorization Duration in Days,INT,,,,,reference_data,Standard duration in days for authorizations approved with this reason. Defines how long the approval remains valid.,"Internal UM Policies, Clinical Guidelines"
authorization,approval_reason,auto_approval_eligible,auto_approval_eligible,Auto-Approval Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization requests with this approval reason can be automatically approved without manual intervention. True if system can auto-adjudicate.,Internal Authorization Workflow Standards
authorization,approval_reason,care_coordination_required,care_coordination_required,Care Coordination Required Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether care coordination or case management involvement is required for services approved with this reason. True if care management engagement is needed.,Internal Care Management Policies
authorization,approval_reason,category,category,Approval Reason Category,STRING,,,,clinical|administrative|emergency|continuity_of_care|regulatory|network|benefit|appeal|override|other,reference_data,High-level classification of the approval reason type. Groups reasons into logical categories for reporting and analysis.,Internal Classification Standards
authorization,approval_reason,clinical_guideline_source,clinical_guideline_source,Clinical Guideline Source,STRING,,,,interqual|mcg|cms|internal|professional_society|evidence_based|none,reference_data,"The source of clinical guidelines or criteria used to support this approval reason. Indicates whether InterQual, MCG, CMS guidelines, or other evidence-based sources were referenced.","InterQual Clinical Decision Support, MCG Care Guidelines, CMS Coverage Policies"
authorization,approval_reason,cms_reportable,cms_reportable,Centers for Medicare and Medicaid Services (CMS) Reportable Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason must be reported to CMS for Medicare or Medicaid programs. True if CMS reporting required.,"CMS Reporting Requirements, Medicare Advantage Regulations"
authorization,approval_reason,code,code,Approval Reason Code,STRING,,,,"^[A-Z0-9_]{2,20}$",reference_data,"Short alphanumeric code representing the approval reason. Used for system processing and reporting. Examples: MED_NEC, CLIN_GUIDE, EMER_CARE.",Internal Coding Standards
authorization,approval_reason,concurrent_review_required,concurrent_review_required,Concurrent Review Required Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether ongoing concurrent review is required for services approved with this reason. True if continued stay or ongoing authorization review is needed.,"Internal UM Policies, Clinical Guidelines"
authorization,approval_reason,cost_impact_level,cost_impact_level,Cost Impact Level,STRING,,,,low|medium|high|very_high,reference_data,The typical cost impact level of services approved using this reason. Used for financial forecasting and utilization management prioritization.,Internal Financial Management Standards
authorization,approval_reason,cpt_code_applicability,cpt_code_applicability,Current Procedural Terminology (CPT) Code Applicability,STRING,,,,,reference_data,Comma-separated list or range of CPT codes for which this approval reason is applicable. Defines specific procedures covered by this reason.,AMA CPT Coding Standards
authorization,approval_reason,description,description,Approval Reason Description,STRING,,,,,reference_data,"Detailed explanation of the approval reason, including clinical or administrative rationale. Provides context for why this reason is used in authorization decisions.",Internal Documentation Standards
authorization,approval_reason,disease_management_program,disease_management_program,Disease Management Program,STRING,,,,,reference_data,Name of the disease management or care management program associated with this approval reason. Used to link authorizations to population health initiatives.,Internal Care Management Program Standards
authorization,approval_reason,display_sequence,display_sequence,Display Sequence Number,INT,,,,,reference_data,Numeric value controlling the display order of approval reasons in user interfaces and reports. Lower numbers appear first.,Internal UI/UX Standards
authorization,approval_reason,documentation_requirements,documentation_requirements,Documentation Requirements,STRING,,,,,reference_data,Description of clinical or administrative documentation required to support authorization requests using this approval reason. Specifies what evidence must be submitted.,"Internal UM Documentation Standards, Clinical Guideline Requirements"
authorization,approval_reason,drg_applicability,drg_applicability,Diagnosis Related Group (DRG) Applicability,STRING,,,,,reference_data,Comma-separated list of DRG codes for which this approval reason is applicable. Used for inpatient authorization decisions.,CMS DRG Classification System
authorization,approval_reason,edi_transaction_code,edi_transaction_code,Electronic Data Interchange (EDI) Transaction Code,STRING,,,,,reference_data,The EDI transaction code used when transmitting this approval reason in ANSI X12 278 authorization transactions. Used for electronic prior authorization exchange.,ANSI X12 278 Healthcare Services Review Standards
authorization,approval_reason,effective_date,effective_date,Effective Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,The date when this approval reason became active and available for use in authorization processing. Format: yyyy-MM-dd.,Internal Data Management Standards
authorization,approval_reason,end_date,end_date,End Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,The date when this approval reason was retired or became inactive. Null if currently active. Format: yyyy-MM-dd.,Internal Data Management Standards
authorization,approval_reason,expedited_tat_hours,expedited_tat_hours,Expedited Turnaround Time (TAT) in Hours,INT,,,,,reference_data,The expedited turnaround time in hours for urgent authorization requests with this approval reason. Used when member condition requires faster processing.,"Internal SLA Standards, State Regulatory Requirements"
authorization,approval_reason,extension_allowed,extension_allowed,Extension Allowed Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorizations using this approval reason can be extended beyond the initial duration. True if extensions are permitted.,Internal UM Policies
authorization,approval_reason,external_code,external_code,External System Code,STRING,,,,,reference_data,The code used for this approval reason in external systems or partner interfaces. Used for data exchange and integration mapping.,"EDI Standards, Partner Integration Specifications"
authorization,approval_reason,external_review_eligible,external_review_eligible,External Review Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason are eligible for independent external review. True if external review rights apply per ACA or state requirements.,"ACA External Review Requirements, State Insurance Regulations"
authorization,approval_reason,facility_type_requirement,facility_type_requirement,Facility Type Requirement,STRING,,,,,reference_data,"Required facility type or accreditation for services approved with this reason. Examples: acute care hospital, ambulatory surgery center (ASC), skilled nursing facility (SNF).","Internal Network Standards, Accreditation Requirements"
authorization,approval_reason,fraud_risk_indicator,fraud_risk_indicator,Fraud Waste and Abuse (FWA) Risk Indicator,STRING,,,,low|medium|high|none,reference_data,"Risk level for potential fraud, waste, or abuse associated with this approval reason. Used to trigger enhanced scrutiny or Special Investigations Unit (SIU) review.","Internal FWA Detection Programs, CMS Program Integrity Requirements"
authorization,approval_reason,gold_card_eligible,gold_card_eligible,Gold Card Program Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether this approval reason is eligible for gold card or auto-approval programs for high-performing providers. True if gold card benefits apply.,Internal Provider Incentive Programs
authorization,approval_reason,guideline_version,guideline_version,Clinical Guideline Version,STRING,,,,,reference_data,Version number or edition of the clinical guideline referenced for this approval reason. Ensures traceability to specific guideline releases.,"InterQual Clinical Decision Support, MCG Care Guidelines"
authorization,approval_reason,hcpcs_code_applicability,hcpcs_code_applicability,Healthcare Common Procedure Coding System (HCPCS) Code Applicability,STRING,,,,,reference_data,"Comma-separated list or range of HCPCS codes for which this approval reason is applicable. Defines specific supplies, equipment, or services covered by this reason.",CMS HCPCS Coding Standards
authorization,approval_reason,hedis_reportable,hedis_reportable,Healthcare Effectiveness Data and Information Set (HEDIS) Reportable Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason must be included in HEDIS quality reporting. True if HEDIS reporting applies.,NCQA HEDIS Technical Specifications
authorization,approval_reason,hl7_code,hl7_code,Health Level Seven (HL7) Code,STRING,,,,,reference_data,The HL7 or FHIR code used when transmitting this approval reason in interoperability exchanges. Used for health information exchange (HIE) and EHR integration.,"HL7 Standards, FHIR Authorization Resources"
authorization,approval_reason,icd10_code_applicability,icd10_code_applicability,International Classification of Diseases 10th Revision (ICD-10) Code Applicability,STRING,,,,,reference_data,Comma-separated list or range of ICD-10 diagnosis codes for which this approval reason is applicable. Defines specific diagnoses covered by this reason.,"WHO ICD-10-CM Coding Standards, CMS ICD-10 Guidelines"
authorization,approval_reason,last_review_date,last_review_date,Last Review Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,"The date when this approval reason was last reviewed for accuracy, relevance, and compliance. Format: yyyy-MM-dd.",Internal Quality Assurance Standards
authorization,approval_reason,max_units_per_authorization,max_units_per_authorization,Maximum Units Per Authorization,INT,,,,,reference_data,"Maximum number of service units (visits, procedures, days) that can be approved in a single authorization using this reason. Null if no limit applies.","Internal UM Policies, Benefit Plan Rules"
authorization,approval_reason,medical_necessity_indicator,medical_necessity_indicator,Medical Necessity Indicator,BOOLEAN,,,,true|false,reference_data,Flag indicating whether this approval reason is based on medical necessity determination. True if the approval is driven by clinical medical necessity criteria.,"CMS Medical Necessity Guidelines, NCQA Standards"
authorization,approval_reason,member_cost_share_impact,member_cost_share_impact,Member Cost Share Impact,STRING,,,,standard|reduced|waived|increased|none,reference_data,"Indicates how this approval reason affects member cost-sharing (copay, coinsurance, deductible). Used for benefit determination and member communication.",Internal Benefit Configuration Standards
authorization,approval_reason,name,name,Approval Reason Name,STRING,,,,,reference_data,Full descriptive name of the approval reason. Human-readable label for business users and reporting.,Internal Data Management Standards
authorization,approval_reason,network_restriction,network_restriction,Network Restriction,STRING,,,,in_network_only|out_of_network_allowed|center_of_excellence_only|no_restriction,reference_data,"Network requirements associated with this approval reason. Specifies whether services must be delivered by in-network, out-of-network, or specialized providers.",Internal Network Management Policies
authorization,approval_reason,next_review_date,next_review_date,Next Review Date,DATE,,,,^\d{4}-\d{2}-\d{2}$,reference_data,The scheduled date for the next review of this approval reason. Used for periodic maintenance and validation. Format: yyyy-MM-dd.,Internal Quality Assurance Standards
authorization,approval_reason,notification_method,notification_method,Notification Method,STRING,,,,mail|fax|portal|phone|email|edi,reference_data,The method(s) used to notify members and providers when this approval reason is applied. Comma-separated list of delivery channels.,"Internal Communication Standards, HIPAA Requirements"
authorization,approval_reason,notification_required,notification_required,Notification Required Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether member and provider notification is required when this approval reason is used. True if regulatory or contractual notification obligations exist.,"HIPAA Notice Requirements, State Notification Laws"
authorization,approval_reason,owner_department,owner_department,Owner Department,STRING,,,,,reference_data,"The department or business unit responsible for maintaining and governing this approval reason. Examples: Utilization Management, Medical Policy, Clinical Operations.",Internal Data Governance Standards
authorization,approval_reason,prior_auth_waiver_eligible,prior_auth_waiver_eligible,Prior Authorization (PA) Waiver Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether this approval reason can be used to waive prior authorization requirements in specific circumstances. True if PA waiver is possible.,"Internal UM Policies, Provider Contract Terms"
authorization,approval_reason,priority_level,priority_level,Priority Level,STRING,,,,routine|urgent|emergent|stat,reference_data,The priority or urgency level associated with authorizations using this approval reason. Determines processing timeframes and escalation paths.,Internal Service Level Agreement (SLA) Standards
authorization,approval_reason,provider_specialty_requirement,provider_specialty_requirement,Provider Specialty Requirement,STRING,,,,,reference_data,Required provider specialty or credential for services approved with this reason. Comma-separated list of specialty codes or descriptions.,"Internal Credentialing Standards, Provider Network Contracts"
authorization,approval_reason,quality_measure_impact,quality_measure_impact,Quality Measure Impact,STRING,,,,,reference_data,"Description of how this approval reason impacts quality measures, star ratings, or performance metrics. Used for quality improvement tracking.","HEDIS Measures, Medicare Star Ratings, NCQA Standards"
authorization,approval_reason,reconsideration_allowed,reconsideration_allowed,Reconsideration Allowed Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether providers can request reconsideration of authorization decisions using this approval reason. True if reconsideration process is available.,"Internal UM Policies, Provider Contract Terms"
authorization,approval_reason,regulatory_basis,regulatory_basis,Regulatory Basis,STRING,,,,,reference_data,"The regulatory requirement or mandate that supports this approval reason. References specific laws, regulations, or compliance requirements (e.g., ACA, HIPAA, state mandates).","ACA Regulations, HIPAA, State Insurance Regulations, CMS Requirements"
authorization,approval_reason,replacement_reason_code,replacement_reason_code,Replacement Reason Code,STRING,,,,,reference_data,The code of the approval reason that replaces this one if retired. Used for mapping and transition management.,Internal Data Management Standards
authorization,approval_reason,reporting_category,reporting_category,Reporting Category,STRING,,,,,reference_data,Category used for grouping approval reasons in regulatory and management reports. May differ from operational category for reporting purposes.,"HEDIS Reporting Standards, Internal Reporting Standards"
authorization,approval_reason,requires_clinical_review,requires_clinical_review,Requires Clinical Review Flag,BOOLEAN,,,,true|false,reference_data,"Indicates whether this approval reason requires clinical review by a medical professional (physician, nurse, pharmacist). True if clinical expertise is needed for determination.",Internal Utilization Management (UM) Policies
authorization,approval_reason,requires_peer_to_peer,requires_peer_to_peer,Requires Peer-to-Peer Review Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether this approval reason requires or allows peer-to-peer consultation between the requesting provider and plan medical director. True if peer-to-peer discussion is part of the approval process.,"Internal UM Policies, State Regulatory Requirements"
authorization,approval_reason,retirement_reason,retirement_reason,Retirement Reason,STRING,,,,,reference_data,Explanation for why this approval reason was retired or inactivated. Provides audit trail and historical context.,Internal Data Management Standards
authorization,approval_reason,retrospective_review_eligible,retrospective_review_eligible,Retrospective Review Eligible Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether services approved with this reason are eligible for retrospective review after service delivery. True if post-service review may occur.,Internal UM Policies
authorization,approval_reason,service_type_category,service_type_category,Service Type Category,STRING,,,,inpatient|outpatient|emergency|pharmacy|dme|behavioral_health|home_health|skilled_nursing|hospice|transplant|imaging|surgery|therapy|all,reference_data,The category of healthcare service for which this approval reason is applicable. Defines the scope of services covered by this reason.,"ANSI X12 837 Service Type Codes, Internal Service Classification"
authorization,approval_reason,standard_tat_hours,standard_tat_hours,Standard Turnaround Time (TAT) in Hours,INT,,,,,reference_data,The standard turnaround time in hours for processing authorization requests with this approval reason. Used for SLA tracking and performance monitoring.,"Internal SLA Standards, State Regulatory Requirements"
authorization,approval_reason,state_reportable,state_reportable,State Reportable Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether authorization decisions using this approval reason must be reported to state insurance departments or Medicaid agencies. True if state reporting required.,State Insurance Department Reporting Requirements
authorization,approval_reason,status,status,Approval Reason Status,STRING,,,,active|inactive|pending|retired|suspended,reference_data,Current lifecycle status of the approval reason. Indicates whether the reason is available for use in authorization processing.,Internal Data Management Standards
authorization,approval_reason,subcategory,subcategory,Approval Reason Subcategory,STRING,,,,,reference_data,More granular classification within the approval reason category. Provides additional detail for specialized reporting and analytics.,Internal Classification Standards
authorization,approval_reason,system_source,system_source,System Source,STRING,,,,pegasystems|facets|qnxt|healthedge|interqual|mcg|manual|other,reference_data,"The source system or platform where this approval reason originated or is primarily maintained. Examples: Pegasystems Healthcare, Facets, QNXT, InterQual, MCG.",Internal System Integration Standards
authorization,approval_reason,utilization_threshold_flag,utilization_threshold_flag,Utilization Threshold Flag,BOOLEAN,,,,true|false,reference_data,Indicates whether this approval reason is subject to utilization thresholds or frequency limits. True if usage monitoring and controls apply.,Internal UM Policies
authorization,approval_reason,value_based_care_indicator,value_based_care_indicator,Value Based Care (VBC) Indicator,BOOLEAN,,,,true|false,reference_data,"Indicates whether this approval reason is associated with value-based care arrangements, alternative payment models (APM), or accountable care organizations (ACO). True if VBC alignment exists.","Internal VBC Program Standards, CMS APM Requirements"
authorization,auth_assignment,auth_assignment_id,auth_assignment_id,Authorization Assignment Identifier,BIGINT,Y,,,,transactional_data,Unique identifier for the authorization assignment record. Primary key for tracking the assignment of an authorization request to a specific authorizer or workgroup.,HIPAA EDI 278 Authorization
authorization,auth_assignment,agent_id,agent_id,Assigned User Identifier,BIGINT,,service.agent.agent_id,,,transactional_data,"Unique identifier of the individual user (authorizer, nurse reviewer, medical director) to whom the authorization request is assigned. May be employee ID or system user ID.",Internal RBAC Standards
